Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
199,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
198,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
197,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
196,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
195,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
194,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
193,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
192,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
191,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
190,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
189,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
188,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
187,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
186,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
185,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
184,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
183,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
182,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
181,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
180,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
179,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
178,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
177,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
176,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
175,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
174,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
173,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
172,-20.4371,11.3017,0.0000,0.0000,0.0000,0.0000,0.0000
