Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-48.3371,-8.8835,2.8034,4.6875,-2.7940,0.2291,0.2584
199,-48.1664,-8.9448,2.6171,2.1288,-2.6153,0.0972,0.2440
198,-47.9956,-9.0054,2.4374,359.1765,-2.4371,-0.0350,0.2308
197,-47.8246,-9.0651,2.2656,355.7568,-2.2594,-0.1676,0.2189
196,-47.6536,-9.1239,2.1038,351.7856,-2.0822,-0.3006,0.2086
195,-47.4825,-9.1820,1.9542,347.1727,-1.9055,-0.4339,0.2001
194,-47.3113,-9.2393,1.9542,347.3110,-1.9065,-0.4293,0.2001
193,-47.1400,-9.2958,1.9542,347.4486,-1.9075,-0.4247,0.2001
192,-46.9686,-9.3515,1.9542,347.5855,-1.9085,-0.4201,0.2001
191,-46.7971,-9.4064,1.9542,347.7217,-1.9095,-0.4156,0.2001
190,-46.6255,-9.4605,1.9542,347.8573,-1.9105,-0.4111,0.2001
189,-46.4664,-9.7254,2.0211,339.0258,-1.8872,-0.7235,0.2209
188,-46.3060,-9.9877,2.1361,331.0099,-1.8684,-1.0353,0.2471
187,-46.1442,-10.2475,2.2913,324.0132,-1.8540,-1.3464,0.2771
186,-45.9810,-10.5047,2.4791,318.0615,-1.8441,-1.6568,0.3099
185,-45.8166,-10.7595,2.6920,313.0722,-1.8384,-1.9665,0.3447
184,-45.6507,-11.0117,2.6920,313.4984,-1.8530,-1.9528,0.3447
183,-45.4836,-11.2614,2.6920,313.9223,-1.8674,-1.9390,0.3447
182,-45.3152,-11.5086,2.6920,314.3439,-1.8816,-1.9252,0.3447
181,-45.1456,-11.7533,2.6920,314.7633,-1.8957,-1.9114,0.3447
180,-44.9747,-11.9955,2.6920,315.1803,-1.9095,-1.8976,0.3447
179,-44.8418,-12.4007,2.8257,310.7554,-1.8447,-2.1405,0.3686
178,-44.7058,-12.8030,2.9782,306.8233,-1.7850,-2.3840,0.3939
177,-44.5665,-13.2021,3.1467,303.3613,-1.7304,-2.6281,0.4202
176,-44.4242,-13.5981,3.3283,300.3322,-1.6809,-2.8727,0.4474
175,-44.2787,-13.9909,3.5210,297.6930,-1.6363,-3.1177,0.4754
174,-44.1302,-14.3804,3.5210,298.3195,-1.6703,-3.0996,0.4754
173,-43.9787,-14.7667,3.5210,298.9430,-1.7040,-3.0812,0.4754
172,-43.8241,-15.1497,3.5210,299.5635,-1.7372,-3.0626,0.4754
171,-43.6665,-15.5294,3.5210,300.1809,-1.7701,-3.0437,0.4754
170,-43.5061,-15.9057,3.5210,300.7952,-1.8027,-3.0245,0.4754
169,-43.4790,-16.0972,3.1163,299.1059,-1.5158,-2.7228,0.4216
168,-43.4513,-16.2884,2.7157,296.8307,-1.2258,-2.4234,0.3681
167,-43.4228,-16.4794,2.3218,293.6779,-0.9324,-2.1263,0.3150
166,-43.3937,-16.6701,1.9389,289.1436,-0.6358,-1.8317,0.2626
165,-43.3638,-16.8605,1.5758,282.3143,-0.3361,-1.5395,0.2114
164,-43.3333,-17.0505,1.5758,282.6018,-0.3438,-1.5378,0.2114
163,-43.3021,-17.2403,1.5758,282.8890,-0.3515,-1.5361,0.2114
162,-43.2701,-17.4298,1.5758,283.1759,-0.3592,-1.5343,0.2114
161,-43.2375,-17.6189,1.5758,283.4626,-0.3669,-1.5325,0.2114
160,-43.2042,-17.8077,1.5758,283.7489,-0.3745,-1.5306,0.2114
159,-43.0785,-18.3490,2.1822,286.0601,-0.6037,-2.0970,0.2935
158,-42.9470,-18.8866,2.7895,287.7257,-0.8493,-2.6571,0.3757
157,-42.8098,-19.4203,3.3974,289.0895,-1.1111,-3.2106,0.4579
156,-42.6670,-19.9502,4.0057,290.2871,-1.3889,-3.7572,0.5401
155,-42.5186,-20.4759,4.6142,291.3826,-1.6823,-4.2966,0.6223
154,-42.3648,-20.9975,4.6142,292.1987,-1.7433,-4.2722,0.6223
153,-42.2054,-21.5147,4.6142,293.0108,-1.8037,-4.2471,0.6223
152,-42.0407,-22.0275,4.6142,293.8189,-1.8634,-4.2212,0.6223
151,-41.8707,-22.5358,4.6142,294.6229,-1.9225,-4.1947,0.6223
150,-41.6953,-23.0395,4.6142,295.4226,-1.9808,-4.1674,0.6223
149,-41.6241,-22.8428,3.4704,300.0847,-1.7396,-3.0029,0.5393
148,-41.5517,-22.6468,2.3749,309.2111,-1.5014,-1.8401,0.4673
147,-41.4782,-22.4513,1.4368,331.7843,-1.2660,-0.6793,0.4120
146,-41.4034,-22.2566,1.1395,24.8924,-1.0336,0.4796,0.3806
145,-41.3274,-22.0625,1.8234,63.8359,-0.8040,1.6365,0.3789
144,-41.1710,-21.9435,1.8093,56.6976,-0.9934,1.5122,0.3886
143,-41.0138,-21.8259,1.8224,49.5486,-1.1824,1.3868,0.3993
142,-40.8557,-21.7095,1.8620,42.5918,-1.3708,1.2602,0.4110
141,-40.6967,-21.5943,1.9267,35.9986,-1.5587,1.1324,0.4236
140,-40.5369,-21.4804,2.0140,29.8877,-1.7462,1.0036,0.4370
139,-40.4762,-21.3314,1.8592,34.4456,-1.5332,1.0516,0.4164
138,-40.4146,-21.1832,1.7193,39.8155,-1.3206,1.1009,0.3964
137,-40.3520,-21.0358,1.5982,46.0922,-1.1084,1.1515,0.3772
136,-40.2884,-20.8893,1.5005,53.3119,-0.8965,1.2033,0.3587
135,-40.2238,-20.7436,1.4309,61.3993,-0.6850,1.2563,0.3412
134,-40.1583,-20.5989,1.4309,60.9049,-0.6958,1.2503,0.3409
133,-40.0919,-20.4549,1.4309,60.4122,-0.7065,1.2443,0.3405
132,-40.0245,-20.3119,1.4309,59.9213,-0.7172,1.2382,0.3401
