Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,-15.8615,39.8676,4.3133,7.0851,-4.2804,0.5320,0.4079
245,-14.0745,39.9486,3.9824,1.6564,-3.9808,0.1151,0.4912
240,-12.2860,39.9746,3.9824,359.9670,-3.9824,-0.0023,0.4912
235,-9.8506,40.0451,5.4245,0.8491,-5.4239,0.0804,0.5767
230,-7.4143,40.0485,5.4245,359.3059,-5.4241,-0.0657,0.5767
225,-3.9061,40.0592,7.8108,359.3494,-7.8103,-0.0887,0.7754
220,-0.3991,39.9689,7.8108,357.7024,-7.8045,-0.3131,0.7754
215,0.9432,40.0074,2.9897,1.5191,-2.9886,0.0793,0.2730
210,2.2856,40.0402,2.9897,1.2764,-2.9890,0.0666,0.2730
205,3.0201,40.3724,1.7944,24.8318,-1.6285,0.7536,0.2584
200,3.7484,40.7181,1.7944,25.8621,-1.6147,0.7827,0.2584
195,3.9390,41.0049,0.7655,56.8269,-0.4189,0.6408,0.2001
190,4.1247,41.2950,0.7655,57.7871,-0.4081,0.6477,0.2001
185,3.4529,41.6637,1.7053,152.0770,1.5067,0.7986,0.3447
180,2.7714,42.0136,1.7053,153.6398,1.5280,0.7572,0.3447
175,1.3134,42.3164,3.3152,169.2080,3.2566,0.6208,0.4754
170,-0.1536,42.5715,3.3152,171.0634,3.2750,0.5150,0.4754
165,-0.9773,42.6013,1.8351,178.2548,1.8343,0.0559,0.2114
160,-1.8013,42.6217,1.8351,178.9161,1.8348,0.0347,0.2114
155,-4.1488,42.6617,5.2274,180.0436,5.2274,-0.0040,0.6223
150,-6.4962,42.6178,5.2274,182.0895,5.2240,-0.1906,0.6223
145,-5.1184,42.8499,3.1103,9.3694,-3.0688,0.5064,0.2843
140,-3.9337,43.0091,2.6611,7.7543,-2.6367,0.3590,0.2448
135,-2.6104,43.0450,2.9474,1.3703,-2.9465,0.0705,0.2747
130,-1.2857,43.0614,2.9495,0.5231,-2.9494,0.0269,0.2749
125,-0.1309,43.0548,2.5711,359.5462,-2.5710,-0.0204,0.2366
120,-0.4555,42.7179,1.0417,226.5819,0.7160,-0.7566,0.2260
115,-0.8519,40.7608,4.4453,258.4007,0.8938,-4.3545,0.4045
110,-1.3243,38.8268,4.4317,256.1119,1.0637,-4.3021,0.4045
105,-1.5221,36.9026,4.3053,263.7553,0.4683,-4.2797,0.4180
100,-1.8235,35.0095,4.2663,260.5634,0.6995,-4.2085,0.4180
95,-2.8061,33.1384,4.7022,242.0227,2.2059,-4.1527,0.4380
90,-3.8895,31.3575,4.6353,238.3993,2.4289,-3.9480,0.4332
85,-5.6832,29.6204,5.5497,224.0536,3.9885,-3.8589,0.4985
80,-7.1206,27.5376,5.6103,235.1567,3.2054,-4.6045,0.5094
75,-7.9113,25.3715,5.0949,250.1208,1.7325,-4.7913,0.4639
70,-8.7039,23.2010,5.0968,250.0883,1.7358,-4.7921,0.4639
65,-8.7486,21.4938,3.7584,268.0921,0.1251,-3.7563,0.3969
60,-8.5133,20.1542,2.9949,279.4327,-0.4908,-2.9544,0.3997
55,-8.1748,18.7280,3.2308,283.2024,-0.7379,-3.1454,0.3294
50,-7.7778,16.9112,4.1021,282.1242,-0.8616,-4.0106,0.4091
45,-7.6106,15.1871,3.8221,275.4664,-0.3641,-3.8047,0.3562
40,-7.6476,13.5243,3.6701,268.7677,0.0789,-3.6693,0.3305
35,-5.9097,11.6368,5.6907,312.5614,-3.8491,-4.1915,0.5336
30,-4.3650,9.8357,5.2703,310.4409,-3.4186,-4.0111,0.4959
25,-4.2659,8.0819,3.8999,273.5782,-0.2434,-3.8923,0.3666
20,-4.1664,6.3214,3.9152,273.5634,-0.2433,-3.9077,0.3661
15,-4.2346,4.6147,3.7928,268.3916,0.1065,-3.7913,0.4222
10,-4.2247,2.9365,3.7263,270.9833,-0.0639,-3.7258,0.4080
5,-2.1143,1.4728,5.7151,325.5328,-4.7118,-3.2344,0.5194
0,0.0000,0.0000,5.7364,325.3188,-4.7172,-3.2640,0.5194
