Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-27.61,-48.46,FL-9,53.82,14.39,12.24,0.15,4.51,7.46,2.96,1.69,3.52,0.49,1.8,,64,40,60,,,,41,665,,-3180.09434042109,289,30.73,560,7.99,2.21,4.6,0.8,46,99,,45,10,3.3,,1.48,,,,,2.7,0.31,SA1,Florianópolis dike swarm,HT,Paraná,17.037037037037,-5394.54252384204,-3180.09434042109,17.037037037037,,3.52,,-5394.54252384204,,,,
-27.61,-48.45,FL-11,53.51,14.12,13.07,0.15,4.53,7.14,2.98,1.86,3.45,0.51,2.3,,50,,45,,,,57,582,,-3180.09434042109,318,29.03,559,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5393.4293289341,-3180.09434042109,,,3.45,,-5393.4293289341,,,,
-27.62,-48.43,FL-12,53.56,14.43,12.57,0.15,3.87,6.89,3.15,2.12,3.91,0.62,1.63,,35,37.18,46,,,,56,769,,-3181.34403871711,335,33.29,683,9.71,2.18,4.48,1,47.5,102.63,,59.69,11.28,3.71,,1.43,,,,,2.76,0.37,SA1,Florianópolis dike swarm,HT,Paraná,17.2101449275362,-5391.20293911824,-3181.34403871711,17.2101449275362,,3.91,,-5391.20293911824,,,,
-27.6,-48.43,FL-13,52.12,14.35,13.39,0.16,4.75,7.33,3.14,1.72,3.76,0.63,1.91,,32,43.12,61,,,,45,871,,-3178.84475739622,220,28.17,700,7.22,2.11,4.23,0.93,42.48,92.54,,54.18,9.86,3.55,,1.39,,,,,2.3,0.37,SA1,Florianópolis dike swarm,HT,Paraná,18.4695652173913,-5391.20293911824,-3178.84475739622,18.4695652173913,,3.76,,-5391.20293911824,,,,
-27.6,-48.42,FL-14,50.39,13.61,16.47,0.19,5.11,7.61,3.24,1.34,3.32,0.38,2.75,,40,46,52,,,,68,454,,-3178.84475739622,252,21.34,288,5.5,1.23,2.93,0.83,30,62,,33,8.2,2.8,,1.39,,,,,2.9,0.45,SA1,Florianópolis dike swarm,HT,Paraná,10.3448275862069,-5390.08974421031,-3178.84475739622,10.3448275862069,,3.32,,-5390.08974421031,,,,
-27.6,-48.42,FL-16,53.03,14.32,14.38,0.2,4.15,6.99,3.17,1.63,3.12,0.47,2,,24,42,29,,,,84,410,,-3178.84475739622,281,23.05,397,6.4,1.36,3.7,0.84,33.2,71,,42,8.49,2.6,,1.13,,,,,3.3,0.41,SA1,Florianópolis dike swarm,HT,Paraná,10.0606060606061,-5390.08974421031,-3178.84475739622,10.0606060606061,,3.12,,-5390.08974421031,,,,
-27.6,-48.42,FL-18,53.25,14.22,14.63,0.19,3.87,6.94,3.16,1.63,3.1,0.49,1.94,,19,42.26,33,,,,50,407,,-3178.84475739622,290,23.9,453,6.84,1.49,4.15,0.98,32.99,63.46,,39.41,8.81,2.77,,1.47,,,,,2.98,0.51,SA1,Florianópolis dike swarm,HT,Paraná,11.0704697986577,-5390.08974421031,-3178.84475739622,11.0704697986577,,3.1,,-5390.08974421031,,,,
-27.63,-48.44,FL-19,55.77,13.89,13,0.18,2.92,6.15,3.3,2.31,2.71,1.08,1.74,,1,26,6,,,,61,516,,-3182.59385234369,427,36,705,10.3,2.46,5.9,1.47,58,121,,63,14,4,,2.1,,,,,4.1,0.66,SA2,Florianópolis dike swarm,HT,Paraná,14.1463414634146,-5392.31613402617,-3182.59385234369,14.1463414634146,,2.71,,-5392.31613402617,,,,
-27.63,-48.44,FL-20,50.68,16.59,12.25,0.17,5.47,10.52,2.92,0.72,1.74,0.17,2.29,,146,40,81,,,,32,375,,-3182.59385234369,141,11.95,187,3.1,0.66,1.24,,15,29,,16,4.4,1.5,,0.9,,,,,2.2,0.34,SA3,Florianópolis dike swarm,LT,Paraná,6.81818181818182,-5392.31613402617,-3182.59385234369,,6.81818181818182,,1.74,-5392.31613402617,,,,
-27.63,-48.44,FL-21,52.34,13.67,13.74,0.16,4.3,7.5,3.12,1.89,4.22,0.45,0.84,,61,42,64,,,,45,786,,-3182.59385234369,320,35,647,9,2.42,4.7,1.03,51,109,,56,11.11,3.5,,1.48,,,,,2.8,0.34,SA1,Florianópolis dike swarm,HT,Paraná,18.2142857142857,-5392.31613402617,-3182.59385234369,18.2142857142857,,4.22,,-5392.31613402617,,,,
-27.63,-48.44,FL-25,53.18,14.37,12.94,0.16,3.91,7.23,3.07,1.85,4.03,0.57,1.46,,49,41,58,,,,39,721,,-3182.59385234369,324,35,687,9,2.43,4.6,1.09,47.8,104,,47,11,3.6,,1.52,,,,,3.2,0.37,SA1,Florianópolis dike swarm,HT,Paraná,14.9375,-5392.31613402617,-3182.59385234369,14.9375,,4.03,,-5392.31613402617,,,,
-27.63,-48.44,FL-28,53.41,13.93,12.16,0.15,5.08,8.1,2.72,1.67,3.46,0.55,1.66,,77,37.65,66,,,,41,687,,-3182.59385234369,291,28.17,532,8.68,1.83,4.49,0.96,42.74,88.19,,43.22,9.91,3.16,,1.29,,,,,2.4,0.35,SA1,Florianópolis dike swarm,HT,Paraná,17.8083333333333,-5392.31613402617,-3182.59385234369,17.8083333333333,,3.46,,-5392.31613402617,,,,
-27.63,-48.44,FL-29,52.96,14.02,13.03,0.16,4.64,8.2,2.99,1.29,3.65,0.38,2.08,,81,41.82,69,,,,36,645,,-3182.59385234369,316,30.73,495,8.5,2.1,4.68,0.96,43.63,96.26,,50.96,10.11,3.57,,1.57,,,,,2.1,0.37,SA1,Florianópolis dike swarm,HT,Paraná,20.7761904761905,-5392.31613402617,-3182.59385234369,20.7761904761905,,3.65,,-5392.31613402617,,,,
-27.63,-48.44,FL-30,50.42,16.98,12.14,0.18,5.21,10.91,2.81,0.56,1.83,0.19,1.61,,136,38,75,,,,15,303,,-3182.59385234369,150,12,145,2.9,0.63,1.17,0.4,12.4,27,,18,3.9,1.5,,0.75,,,,,2.2,0.27,SA3,Florianópolis dike swarm,LT,Paraná,5.63636363636364,-5392.31613402617,-3182.59385234369,,5.63636363636364,,1.83,-5392.31613402617,,,,
-27.63,-48.44,FL-31,50.79,16.49,12.1,0.17,5.47,10.94,2.81,0.58,1.71,0.16,2.05,,146,40,73,,,,16,344,,-3182.59385234369,140,12.81,164,3.5,0.73,1.33,0.41,13.6,31,,18,4.4,1.7,,0.82,,,,,2.5,0.47,SA3,Florianópolis dike swarm,LT,Paraná,5.44,-5392.31613402617,-3182.59385234369,,5.44,,1.71,-5392.31613402617,,,,
